,index,id,product_uid,product_title,search_term,relevance,product_uid.1,product_description,attributes,NumOfWordsInSearchTerm,NumOfCharsInSearchTerm,NumOfWordsInTitle,NumOfCharsInTitle,NumOfWordsInProdDescrip,NumOfCharsInProdDescrip,NumOfCharsInBrand,SearchAndTitleMatch,SearchAndTitleNAdjMatch,SearchAndDescriptionMatch,SearchAndDescriptionNAdjMatch,SearchAndProductBrandMatch,SearchAndProductBulletsMatch,SearchAndProductSizeMatch,SearchAndProductWeightMatch,SearchAndProductSizeInRange,SearchAndProductWeightInRange,SearchAndProductLastWordMatch,SearchAndProductLastWordNAdjMatch,RatioOfDescripToSearch,RatioOfTitleToSearch
10,5168,16208,102864,Everbilt 1-1/2 in. Zinc-Plated Corner Brace (20-Pack),l bracket,2.67,102864,"Bring the beauty of the outdoors inside with the energy-efficient Masonite Painted Prehung Inswing Mini blind Steel Patio Door with No Brickmold in Vinyl Frame. Enjoy the scenery or, when privacy is needed, simply lower the internal mini blinds. Expertly designed, the blinds never need to be cleaned. The clear, multi-pane insulated glass is treated with a Low-E coating that reflects heat out of the home in the summer and locks in heat during the winter. Plus the premium polyurethane insulation and weatherstripping are designed to let the beauty of nature in, but the weather out - resulting in lower heating and cooling bills.California residents: see&nbsp;Proposition 65 informationHigh-quality steel provides strength and securitySteel reinforced door features energy saving polyurethane door coreHigh performance compression weatherstripping helps to seal out draftsRaise and lower mini blinds are easy to use and maintain - available in standard glazed onlyLow-E tempered glass helps keep you comfortable in any seasonMasonite colors complement Behr paints color palette to easily coordinate your door with shutters, trim and moreRot-resistant bottom rail made of high-performance composite materialsPatio door slabs are double bored for lockset - not includedScreen kits available for all inswing units - sold separatelyPatio door comes fully assembled with hinges, vinyl frame, aluminum sill and weatherstrippingFrom outside, open towards the inside of the house with the hinges on the left/right","[('Brace type', 'Inside corner'), ('Builders Hardware Product Type', 'Braces'), ('Bullet01', 'Made of steel'), ('Bullet02', 'Zinc-plated finish'), ('Bullet03', 'Ideal for use with wood on indoor and outdoor applications'), ('Bullet04', 'Screws are not included'), ('Bullet05', '4 hole design'), ('Color', 'Zinc'), ('Color Family', 'Metallics'), ('Fasteners included', 'No'), ('Gauge', '12'), ('Material', 'Steel'), ('MFG Brand Name', 'Everbilt'), ('Number of mounting holes', '4'), ('Number of Pieces', '20'), ('Package quantity', '20'), ('Product Depth (in.)', '0.06'), ('Product Height (in.)', '1.5'), ('Product Thickness (in.)', '0.06 in'), ('Product Weight (lb.)', '0.46'), ('Product Width (in.)', '0.5'), ('Type', 'Corner brace')]",2,9,7,53,222,1508,8,0,0,0,0,0,0,False,False,False,False,0,0,111,3
11,5231,16367,102893,Lithonia Lighting All Season 4 ft. 2-Light Grey T8 Strip Fluorescent Shop Light,Fluorescent Shop Light,3.0,102893,"Just like ocean waves, the one-piece curves and sleek lines of this Lahara Single Hole 1-Handle High Arc Bathroom Faucet in Chrome make a lasting impression. Delta's exclusive DIAMOND Seal Technology uses a valve with a tough diamond coating to bring you a faucet built to last up to five million uses. Plus, it keeps water inside the faucet out of contact with potential metal contaminants. Who knew a faucet could be just as beautiful on the inside.WaterSense certified 1.5 GPM flow rate promotes water conservationElegant one-piece curved handle and sleek spoutIncludes matching metal pop-up drain assemblyIntegrated water-efficient aerators provide a smart water delivery solution that maximizes water savings without sacrificing the comfortIncludes optional 6-1/2 in. escutcheon for 4 in. centerset installationsLifetime limited warranty covers parts and finish defects3-hole 4 in. installation","[('Actual Color Temperature (K)', '0'), ('Bulb Type Included', 'No Bulbs Included'), ('Bullet01', '6 in. textured gray reflector with pull chain power switch'), ('Bullet02', 'Requires (2) 32-Watt T8 linear energy-efficient fluorescent bulbs'), ('Bullet03', 'Fully assembled, ready-to-install with mounting hardware and 5 ft. power cord included'), ('Bullet04', 'Energy Star qualified, UL listed and title 24 compliant'), ('Bullet05', 'Starts reliably down to 0\xc2\xb0s F'), ('Bullet06', '2 year warranty'), ('Certifications and Listings', '1-UL Listed'), ('Collection Name', 'Shoplight'), ('Color Rendering Index', '85'), ('Commercial Light Type', 'Strip'), ('Dimmable', 'No'), ('ENERGY STAR Certified', 'Yes'), ('Fixture Color/Finish', 'Grey'), ('Fixture Color/Finish Family', 'Stainless Steel'), ('Hardware Included', 'Yes'), ('Hood width (in.)', '16'), ('Hooded', 'Yes'), ('Length/circumference (in.)', '48'), ('Light Bulb Base Code', 'Twist Lock'), ('Maximum Wattage (watts)', '0'), ('MFG Brand Name', 'Lithonia Lighting'), ('Number of Bulbs Required', '2'), ('Product Depth (in.)', '51'), ('Product Height (in.)', '3'), ('Product Weight (lb.)', '7 lb'), ('Product Width (in.)', '7')]",3,22,13,79,132,899,17,3,3,0,0,1,1,False,False,False,False,1,1,44,4
12,6103,19202,103449,"LG Electronics 18,000 BTU Window Air Conditioner with Cool, Heat and Remote",Window Unit Air Conditioner/Heater,2.67,103449,"Now exclusively at the Home Depot, carpets in the Home Decorators Collection are inviting and soft. Mineral II is made from 100% Spun Polyester which is constructed into a texture finish making it ideal for bed rooms, family rooms or dens of virtually any decor. Mineral II is covered by the Premium warranties which are lifetime stain and soil, 15-year abrasive wear, 15-year texture retention. Mineral II along with all of the Home Decorators Collection were strategically handpicked with you the consumer in mind.100% Spun PolyesterLifetime stain and soil warrantyProtected by Shaw R2x stain and soil resistance systemMade from staple yarnVacuum regularly and spot cleanMachine-made in the USAMachine made in the USACarpet sold in square yard incrementsClassic backingPictorial representation of product can vary slightly in color from actual productClick below to visit our Flooring Estimator","[('A/C Cooling Rate (BTU/hr)', '18000'), ('A/C Coverage Area (sq. ft.)', '1000'), ('Air Conditioner Product Type', 'Window Unit'), ('Air direction/circulation', '4-way'), ('Amperage (amps)', '9'), ('Assembled Depth (in.)', '30.31 in'), ('Assembled Height (in.)', '16.84 in'), ('Assembled Width (in.)', '26 in'), ('Automatic shutoff', 'No'), ('BTU Cooling Rating', '18000'), ('BTU Heat Rating', '12000'), ('Bullet01', 'To purchase this item online search item # 204683991'), ('Bullet02', 'Estimated cooling area (1000 sq. ft.)'), ('Bullet03', '18,000 BTU performance cooling and 9,800 BTU performance heating can keep you warm or cool all year round, no matter the season'), ('Bullet04', 'Easy Installation Kit Included. Get comfortable with the greatest of ease. This window unit comes with our easy to use installation kit so you can set up your air conditioner with ease'), ('Bullet05', '2-speeds cooling and heating fan: keep your cool under control; control the temperature of the room at your own pace with our two cooling and fan speeds'), ('Bullet06', '4-way Air Deflection, enjoy the cool air even more with our 4-way air direction by adjusting the deflection, air is directed up, down, left or right to move the air where it is needed most'), ('Bullet07', 'Digital Electronic Touch Controls: control the temperature of your room with just a push of a button'), ('Bullet08', '24-hour On/Off Timer lets you create a cooling schedule without wasting electricity an energy efficient programmable timer that can turn on your air conditioner before you arrive home or turn off after you leave'), ('Bullet09', 'Remote control that is stylish and easy to use which allows you to cool down from across the room'), ('Bullet10', 'Washable and reusable air filter saves money on replacements'), ('Bullet11', 'Automatically restarts after a power failure there are storms, high winds and extreme heat that can lead to power outages keep yourself covered with Auto Restart, which automatically turns the unit back on when power is restored'), ('Bullet12', 'Removes up to 5.5 pints of moisture from the air in a hour to control humidity'), ('Bullet13', 'Product dimension (W x H x D): 26 in. W x 16-27/32 in. H x 30-5/16 in.'), ('Bullet14', 'Voltage / 60 Hz: 208/230'), ('Bullet15', 'Slide In-Out chassis type for easy installation'), ('Bullet16', 'Filter light reminder'), ('Certifications and Listings', '1-UL Listed'), ('Color', 'White'), ('Color Family', 'White'), ('Controls', 'Digital'), ('Coverage Area (sq. ft.)', '1000'), ('Decibel Rating', '55 dBA'), ('Decibel Rating (Indoor)', '55 dBA'), ('Decibel Rating (Outdoor)', '63 dBA'), ('Energy Efficiency Ratio (EER)', '9.7'), ('ENERGY STAR Certified', 'No'), ('Filter light reminder', 'Yes'), ('Filter Type', 'Washable'), ('Heater included', 'Yes'), ('MFG Brand Name', 'LG Electronics'), ('Number of cool settings', '2'), ('Number of Fan Speeds', '2'), ('Product Depth (in.)', '30.31'), ('Product Height (in.)', '16.84'), ('Product Weight (lb.)', '136'), ('Product Width (in.)', '26'), ('Remote Control', 'Yes'), ('Sleep setting', 'No'), ('Timer', 'Yes'), ('Voltage (volts)', '230'), ('Window opening maximum width (in.)', '41'), ('Window opening minimum height (in.)', '18'), ('Window opening minimum width (in.)', '29')]",4,34,12,75,135,896,14,2,2,0,0,0,8,False,False,False,False,0,0,33,3
13,6779,21234,103967,Greatmats Hiddenlock Slate Top Gray 12 in. x 12 in. x 1/4 in. PVC Plastic Interlocking Basement Floor Tile (Case of 20),gray floor tile,3.0,103967,"Soft waterproof fabric protects against allergens, bed bugs, and dust mites. Its waterproof membrane keeps moisture and stains from your mattress and extends the mattress life. Resort Line allows moisture vapor to escape, inhibiting mold or mildew. The ultra thin material does not alter the comfort of any mattress, including memory foam. For the best protection, encase all mattresses, pillows, and box springs.100% waterproofLocking zippers ensure protection and securityProtect against bed bugs, dust mites, moisture and spillsDust mites are in nearly all homes accounting for up to 20% of the weight of a two year old pillow or mattressFor optimum protection, use with Bed Bug - dust mite eradicator productsBed Bug, dust mite, allergy proofSize 78 x 80 x 9 in.",[],3,15,22,119,121,766,0,3,3,0,0,0,0,False,False,False,False,0,0,40,7
14,9811,30355,106591,Custom Building Products AcrylPro 1 Gal. Ceramic Tile Adhesive,entry floor tile with adhesive backing,2.0,106591,"BEHR Premium Plus Ultra Matte Interior Paint and Primer in One will change the way you paint and save you time. This performance-driven paint, featuring NANOGUARD technology, offers superior stain removal and excellent hide in fewer coats. This exciting product delivers the beautiful color you want with the exceptional durability you need.California residents: see&nbsp;Proposition 65 informationIdeal for family rooms, living rooms, dining rooms, bedrooms and ceilingsLow VOC, 100% acrylic base provides exceptional adhesion and durabilityMatte sheen offers a low-reflective appearance to help hide surface imperfections1 can covers up to 400 sq. ft. depending on surface porosityAdvanced stain-blocking formulaStain and scuff resistantEasy to clean for your convenienceAntimicrobial-mildew resistant finish helps maintain a lasting freshly painted appearance in high-moisture areasActual paint colors may vary from on-screen and printer representationsOnline Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT","[('Adhesive Type', 'Tile & Stone'), ('Bullet01', 'Ideal for smaller format tile installations'), ('Bullet02', 'Great for installations over drywall'), ('Bullet03', 'Standard dry time for 8 in. x 8 in. tile is 24-72 hours before applying grout'), ('Bullet04', 'Spreads quickly and easily and offers long working times for setting and adjusting tile'), ('Color Family', 'Whites'), ('Commercial / Residential', 'Commercial / Residential'), ('Container size (qt.)', '4'), ('Dry time (hours)', '72'), ('Floor/wall use', 'Floor and wall'), ('Flooring Product Type', 'Ceramic Floor/Wall Tile'), ('Indoor/Outdoor', 'Indoor'), ('Latex based', 'Yes'), ('Maximum coverage area (sq. ft.)', '60'), ('MFG Brand Name', 'Custom Building Products'), ('Product type', 'Adhesive'), ('Product Weight (lb.)', '13.5'), ('Product Width (in.)', '9'), ('Solvent free', 'Yes'), ('Use with', 'Tile'), ('Water based', 'No')]",6,38,9,62,144,1048,24,2,2,1,1,0,3,False,False,False,False,1,1,24,1
15,10156,31406,106905,Kreg DIY Project Kit,kreg pocket hole jig,2.67,106905,"Colorful with a sleek ribbon stripe design, the Fontina Stripe Welted 2-Piece Pillow Back Outdoor Deep Seating Cushion Set from Hampton Bay will give your outdoor chair a fresh and sophisticated look. Ultra-comfortable with a superior polyfill and durable with outdoor polyester fabric, the fabric is also UV treated to resist fading for lasting beauty. Featuring a clean knife edge seat cushion for a classic, smart look and a welted contoured pillow back for added comfort, coordinate with other Fontina Stripe pieces or with other decor for a custom outdoor setting.Seat dimensions: 24 in. D x 24 in. W x 5.5 in. thickBack dimensions: 22.5 in. D x 25 in. W x 6 in. thickDurable outdoor polyester fabric is UV treated to resist fading for longer lasting vibrant color100% polyester filled with everLUXE, a superior polyfill that helps cushion retain shape over timeCleans easily with mild soap and water; air dry","[('Bullet01', 'Kreg rip-cut: works with most circular saws, cuts sheet goods up to 24 in. wide'), ('Bullet02', 'Kreg jig R3: creates pocket holes in materials from 1/2 in. to 11/2 in. thick'), ('Bullet03', 'Shelf-pin jig: creates 5 mm holes for adjustable-shelf pins, removable dual-position fence'), ('Bullet04', 'Also comes with 10 free downloadable step-by-step project plans'), ('Jig type', 'Drill'), ('Material', 'Nylon'), ('Maximum stock size (in.)', '1.5'), ('MFG Brand Name', 'Kreg'), ('Minimum stock size (in.)', '.5'), ('Power Tool Accessory Type', 'Jig'), ('Power Tool Product Type', 'Power Tool Accessory'), ('Product Depth (in.)', '12'), ('Product Height (in.)', '1'), ('Product Width (in.)', '30'), ('Tools Product Type', 'Power Tool')]",4,20,4,20,151,914,4,1,1,0,0,1,6,False,False,False,False,0,0,37,1
16,10380,32090,107105,Veranda 0.2 in. x 4 ft. x 8 ft. Sierra Cedar Vinyl Privacy Diamond Lattice,vinyl lattiace,2.33,107105,"Nashua Trusted Tapes get the job done right, the first time, every time. Nashua 398 All-Weather Duct Tape is 11 mils thick and offers durability and adhesion for even the toughest household and contractor applications.Ideal for indoor/outdoor seal, patch, and bond applications as well as household repairs, and HVAC duct sealingTough, conformable polyethylene coated cloth backing offers ALL-WEATHER enduranceThick, natural rubber adhesive is ideal for MULTI-SURFACE and provides a DURABLE BONDLow VOC (Volatile Organic Compound)ContentProudly made in the United States of America","[('Bullet01', 'Plastic construction provides durability'), ('Bullet02', 'Sierra cedar color resists discoloration and scratching for long-lasting beauty'), ('Bullet03', 'Resists impact and weather to protect against warping, rotting, twisting and splitting'), ('Bullet04', 'Grid opening is 1 in.'), ('Bullet05', 'Low maintenance'), ('Bullet06', 'Transferable limited lifetime warranty'), ('Color Family', 'Beige'), ('Landscape Supply Type', 'Vinyl Lattice'), ('Material', 'Vinyl'), ('MFG Brand Name', 'Veranda'), ('Product Depth (in.)', '0.2'), ('Product Height (in.)', '48'), ('Product Length (in.)', '48'), ('Product Thickness (mm)', '5'), ('Product Weight (lb.)', '17'), ('Product Width (in.)', '96')]",2,14,15,74,82,581,7,1,1,0,0,0,0,False,False,False,False,0,0,41,7
17,10587,32690,107285,House of Fara 3/4 in. x 2-1/8 in. x 8 ft. MDF Panel Moulding,chair molding,3.0,107285,These 1/4-28 Fine Zinc-Plated Steel Keep Lock Nuts (2 per Pack) are suitable for general applications. The lock nuts are used for fastening to bolts when mechanically joining materials together.California residents: see&nbsp;Proposition 65 informationFor general applicationsFasten to a bolt to mechanically join materials together (bolt sold separately)Steel construction1/4 in. inner diameter28 thread pitchZinc-platedGripping teethFree-spinning washer aids in tighteningFine threading,"[('Application', 'General Purpose'), ('Bullet01', 'Made of primed MDF'), ('Bullet02', 'Can be painted to match your home decor'), ('Bullet03', 'Resistant to moisture'), ('Bullet04', 'For interior use'), ('Bullet05', '96 in. Length'), ('Color Family', 'White'), ('Flexible', 'No'), ('Interior/Exterior', 'Interior'), ('Kits', 'No'), ('Material', 'Medium Density Fiberboard (MDF)'), ('MFG Brand Name', 'House of Fara'), ('Moisture Resistant', 'Yes'), ('Moulding Features', 'Moisture Resistant'), ('Moulding Type', 'Panel'), ('Paintable/Stainable', 'Yes'), ('Pattern Number', '8207'), ('Prefinished', 'No'), ('Pro Pack', 'No'), ('Product Depth (in.)', '0.75'), ('Product Height (in.)', '2.297'), ('Product Length (in.)', '2.297'), ('Product Width (in.)', '96'), ('Rot Resistant', 'No'), ('Termite Resistant', 'No'), ('Wood Veneer', 'No')]",2,13,14,60,59,487,13,0,0,0,0,0,0,False,False,False,False,0,0,29,7
18,10702,33086,107409,Spectracide Terminate Termite Killing Stakes (5-Count),termite spray,2.67,107409,"Corner ramp piece is designed specifically for the Max Tile floor tile. The Max Tile corner ramp easily snap connects onto the edge of the Max Tile. These corner ramps will only interlock with the Max Tile. One corner fits on each corner in your layout. This provides a finished edge to your floor and ramps down for a safe transition. Border ramp pieces also available to complete the edging on your portable dance floor or home basement floor installation.Coverage is 0.039 sq. ft. per Max Tile corner pieceUse for basement floors or multipurpose gym floorsEach Max Tile corner is 2-3/8 in. x 2-3/8 in. x 5/8 in. highAvailable in blackMade from top quality commercial grade materialWaterproof, for indoor installationsFor residential or commercial applications5-year limited warrantyInstall with the Max Tiles and Max Tile border componentsOnline orders ship via parcel ground service and may arrive in multiple boxesEasy interlocking design with snap together fitProvides a safe transition on and off the Max Tile surfaceEasy DIY install on most surfacesGreat for damp areas, raised bottom structure keeps floor elevatedBorder and corner pieces finish the edging of your Max Tile floorSold in cases of 4 corner borders per case",[],2,13,6,54,196,1230,0,1,1,0,0,0,0,False,False,False,False,0,0,98,3
19,11609,35747,108190,Brinkmann Heavy Gauge Smoker with Off-Set Firebox,brinkmann smoker,3.0,108190,"READY SEAL stain enhances the natural beauty of the wood allowing the texture and grain of the wood to remain visible. This stain is an oil-based, semitransparent stain and sealer in one, suitable for all your exterior wood projects. It is a unique formula that penetrates deeply to protect and preserve wood from the elements such as mold, mildew and damaging UV rays.Goof proof applicationNo laps, runs or streaksNo back brushingApply in any temperatureOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT",[],2,16,7,49,90,543,0,2,1,0,0,0,0,False,False,False,False,0,0,45,3
20,12488,38543,109091,EcoSmart 60W Equivalent Daylight A19 Energy Star + Dimmable LED Light Bulb (4-Pack),led blubs,1.67,109091,"The Prime-Line Products Front Drawer Guide Roller Kit includes 1 left-hand roller, 1 right-hand roller and screws for 1 drawer. The rollers mount to the front of your drawer opening to help center your drawer (not included) for smooth operation.Helps to center your drawer (not included) and allow for smooth operationStainless-steel and nylon constructionMount to the front of your drawer openingIncludes one 1 in. diameter left-hand roller, one 1 in. diameter right-hand roller and screws for 1 drawerQuick and easy installationClick here to view our Drawer Slide Buying Guide","[('Actual Color Temperature (K)', '5000'), ('Average Life (hours)', '25000'), ('Bulb Diameter (In.)', '2.36'), ('Bulb Shape', 'A-Line'), ('Bulb Type', 'Household'), ('Bullet01', 'Brightness: 840 Lumens'), ('Bullet02', 'Estimated yearly energy cost: $1.08 (based on 3 hours/day, 11\xc2\xa2/kWh. cost depends on rates and use)'), ('Bullet03', 'Life: 22.8 years (based on 3 hours/day), long lifetime'), ('Bullet04', 'Light appearance: 5000K (daylight)'), ('Bullet05', 'Energy used: 9-Watt (equivalent to a 60-Watt standard incandescent light bulb)'), ('Bullet06', 'Lumens per Watt: 93.3'), ('Bullet07', 'For use with light dimmers, compatible with most dimmer switches, it is dimmable as well as Omni-directional, indoor lighting applications'), ('Color Rendering Index', '80'), ('ENERGY STAR Certified', 'Yes'), ('Indoor/Outdoor', 'Indoor'), ('Light Bulb Base Code', 'E26'), ('Light Bulb Base Type', 'Medium'), ('Light Bulb Features', 'Dimmable,Energy Saving'), ('Light Bulb Shape Code', 'A19'), ('Light Color', 'Daylight'), ('Light Output (lumens)', '840'), ('Lighting Technology', 'LED'), ('MFG Brand Name', 'EcoSmart'), ('Number in Package', '4'), ('Product Depth (in.)', '2.362'), ('Product Height (in.)', '4.566'), ('Product Width (in.)', '2.362'), ('Specialty Bulb Type', 'Household / General Purpose'), ('Watt Equivalence', '60'), ('Wattage (watts)', '9')]",2,9,13,83,89,578,8,1,0,0,0,0,0,False,False,False,False,0,0,44,6
21,12510,38616,109114,Rust-Oleum Automotive 14 oz. Rock Guard Crystal Clear Spray Paint (6-Pack),paint guard,2.0,109114,The Salem collection 6-Light Track Lighting has a nickel finish with clear and frosted glass. The bullet-shaped design of this lighting fixture enhances your decor with a modern style.Clear frosted glassNickel finish6 x GU10 type light bulb-50 watt (not included)Adjustable design for multi-directional lightingAll necessary mounting hardware included,"[('Application Method', 'Spray'), ('Bullet01', 'Best one-step application for exterior car protection'), ('Bullet02', 'High build, peelable crystal clear coating'), ('Bullet03', 'Temporary coating, easy to remove'), ('Bullet04', 'Maximum abrasion and scratch protection from road debris'), ('Bullet05', 'Any-angle spray technology with comfort tip'), ('Bullet06', 'Rust preventive for a long-lasting finish'), ('Bullet07', 'Clean up with mineral spirits'), ('Bullet08', 'High build, peelable crystal clear coating'), ('Coating Product Category', 'Paint'), ('Color Family', 'Clear'), ('Color/Finish', 'Crystal Clear Semi-Gloss'), ('Coverage Area (sq. ft.)', '6'), ('Dry to touch (min.)', '20'), ('Interior/Exterior', 'Exterior'), ('MFG Brand Name', 'Rust-Oleum Automotive'), ('Mildew Resistant', 'No'), ('Paint Product Type', 'Automotive Paint'), ('Paint/Stain Base Material', 'Oil'), ('Paint/Stain Clean Up', 'Mineral Spirits'), ('Paint/Stain Key Features', 'No additional features'), ('Paint/Stain/Waterproofer Product Type', 'Automotive & Farm Equipment'), ('Sheen', 'Semi-Gloss'), ('Transparency', 'Clear-Crystal Clear')]",2,11,11,74,48,351,21,2,2,0,0,0,0,False,False,False,False,0,0,24,5
22,12552,38751,109149,MARAZZI Montagna White Wash 6 in. x 24 in Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. /case),montagna dappy gray,2.0,109149,"Authentic Texture 8 mm Laminate Flooring creates texture and a distinctive one-of-a-kind style pattern. This product has achieved GREENGUARD Indoor Air Quality Certification and has been tested for more than 10,000 volatile organic compounds, including formaldehyde, to meet these standards. The glueless installation is easy and economical; above grade, on grade and below grade. This laminate flooring captures beauty and elegance with the hardwood look and appeal.California residents: see&nbsp;Proposition 65 informationCanyon Grenadillo Laminate Flooring8 mm Thickness x 5-9/16 in. Width x 47-3/4 in. Length Planks738 sq. ft. per pallet. 40 cases per pallet, weight: 962 lb.Canyon Grenadillo, Dark Color, Authentic Textured FinishPlanks have a square edgeNo attached underlaymentAppropriate Grade for Installation: All GradesCan be installed over embedded radiant heatingCan be installed over both concrete and wooden subfloorsResidential/commercial use50-year residential/5-year commercial warrantyDon't forget your coordinating trim and moldingsAll online orders will be received LTL-curbside onlyItem is sold online only, cannot be returned in less than full pallet quantitiesIt is recommended you purchase a minimum of 10% overage to account for cutsInstallation: Floating, glue-downPlease use Internet# 203190545 to order a Take Home Sample of this product","[('Approximate Tile Size', '6x24'), ('Break Strength (lb.)', '276'), ('Bullet01', '14.53 square feet, 15 pieces per case. Case weight is 50 lb.'), ('Bullet02', 'Grade 1, first-quality porcelain tile for floor, wall and countertop use'), ('Bullet03', '6 in. width x 24 in. length x 3/8 in. thick'), ('Bullet04', 'Glazed textured finish with a medium sheen and slight variation in tone'), ('Bullet05', 'P.E.I. Rating IV has high resistance to abrasion and is suitable for heavy-duty residential and commercial floor installations, such as entrances, commercial kitchens, hotels and exhibition and sales rooms with some dirt conditions'), ('Bullet06', 'Impervious tile has water absorption of less than 0.5% for indoor or outdoor use and is frost proof'), ('Bullet07', 'C.O.F. greater than .50 is recommended for standard residential applications and is marginally skid resistant'), ('Bullet08', 'Frost resistant for indoor or outdoor applications; use a latex-modified thinset for acceptable bond strength'), ('Bullet09', 'Residential use'), ('Bullet11', 'Don\xe2\x80\x99t forget your coordinating trim pieces, grout, backerboard, thinset and installation tools'), ('Bullet12', 'All online orders for this item ship via parcel ground and may arrive in multiple boxes'), ('Bullet13', 'It is recommended you purchase a minimum of 10% overage to account for design cuts and patterns'), ('Color Family', 'Whites'), ('Color/Finish', 'White'), ('Commercial / Residential', 'Residential'), ('DCOF Rating', 'Less than 0.42'), ('Exact Dry SCOF Rating', '.6'), ('Exact Wet SCOF Rating', '.6'), ('Flooring Product Type', 'Porcelain Tile'), ('MFG Brand Name', 'MARAZZI'), ('Number of Tiles per Case', '15'), ('Product Length (in.)', '24'), ('Product Thickness (mm)', '9'), ('Product Width (in.)', '6'), ('Style Type', 'Wood Grain'), ('Suggested Grout Line Size', '3/16'), ('Tile Features', 'Chemical Resistant,Frost Resistant,Glazed,Meets A.D.A. Requirements'), ('Tile Finish', 'Matte'), ('Tile Material', 'Porcelain'), ('Tile Use', 'Accent Wall,Backsplash,Bath Wall,Bedroom Floor,Countertop,Entry Way,Exterior Wall,Fireplace Facade,Hallway Floor,Kitchen Floor,Living Room Floor,Shower Wall')]",3,19,19,100,184,1366,7,1,0,0,0,0,0,False,False,False,False,0,0,61,6
23,12719,39252,109303,Shepherd 6 in. Steel Tri-Dolly with 200 lb. Load Rating,appliance mover,1.67,109303,"With a youthful, yet timeless flair, the Lynzie Collection brightens your day with its simplicity. Clean-lined with a few playful surprises add visual interest without complexity. Easily create a designer look in your home with these coordinating fixtures.California residents: see&nbsp;Proposition 65 informationChrome finishOpal etched glass33-1/4 in. W x 11-1/8 in. HUses (4) 100-Watt medium base bulbs (not included)Fixture mounts in up or down position; listed for damp locationsHome Depot Protection Plan:","[('Adjustable Length', 'No'), ('Bullet01', 'Use to move heavy items'), ('Bullet02', 'Load capacity of 200 lb.'), ('Bullet03', 'Can be used indoors or outdoors'), ('Bullet04', 'Steel with three 1-1/4 in. polyolefin wheels with steel bearings'), ('Certifications and Listings', 'No Certifications or Listings'), ('Color Family', 'Black'), ('Frame Material', 'Metal'), ('Handle', 'No'), ('Load capacity (lb.)', '200'), ('Material', 'Steel'), ('MFG Brand Name', 'Shepherd'), ('Pneumatic Tires', 'No'), ('Product Depth (in.)', '6'), ('Product Height (in.)', '1.75'), ('Product Weight (lb.)', '.89'), ('Product Width (in.)', '6'), ('Reconditioned', 'No'), ('Storage Product Type', 'Dollies and Hand Trucks')]",2,15,10,55,71,511,8,0,0,0,0,0,0,False,False,False,False,0,0,35,5
24,13118,40516,109691,Rapid Set 60 lb. Concrete Mix,concrete for ponds,2.0,109691,"The clean, attractive white finish on this 48 in. vanity will add some luster to your bathroom and provide ample storage options for toiletries and essentials. Two deep drawers on either side fully extend on smooth ball-bearing glides, with an extra wooden compartment in the top drawers to keep smaller, frequently-used items within easy reach. Abundant space lies beyond the center cabinet door, while six-way adjustable concealed hinges enable precise alignment. The elegant raised panels, nickel hardware and classic styling make this vanity an ideal match for any bathroom decor. Select a fresh white accent piece from the Glacier Bay Regency collection to complement your powder room makeover.Dimensions: 48 in. W x 21-4/5 in. D x 34-3/10 in. HAccommodates a 49 in. W x 22 in. D vanity top with 1 centerset sink (sold separately)Faucet, sink, countertop and bath accessories not includedVanity base sits flush with the floor beyond toe-kick recessNickel hardware includedFrame constructed with durable medium-density fiberboard (comes fully assembled)Drawers and door treated with scratch-resistant finishLifetime limited warranty","[('Bullet01', 'Fast setting \xe2\x80\x94 hardens to structural strength in 1 hour'), ('Bullet02', 'Ultra durable \xe2\x80\x94 over 6,000 psi ultimate strength'), ('Bullet03', 'Crack resistant, low-shrink, long life formula'), ('Bullet04', 'Bonds to concrete, brick, stone and many other surfaces'), ('Bullet05', 'High performance, eco-friendly hydraulic cement formulation'), ('Bullet06', 'Easy to use \xe2\x80\x94 just add water'), ('Bullet07', 'Meets ASTM C928 requirements'), ('Bullet08', 'One 60 lb. bag yields 0.5 cu. ft.'), ('Color Family', 'Gray'), ('Compression strength (psi)', '6000'), ('Material', 'Concrete'), ('MFG Brand Name', 'Rapid Set'), ('Mix Type', 'Fast Setting,High-Strength'), ('Product Depth (in.)', '14'), ('Product Height (in.)', '5'), ('Product Weight (lb.)', '60'), ('Product Width (in.)', '22'), ('Vertical/overhead use', 'Yes'), ('Working time (min.)', '15')]",3,18,6,29,169,1136,9,1,1,0,0,0,0,False,False,False,False,0,0,56,2
